"schema","table","is_view","column","column_proper","description"
"pir_logs"," pir_ingestion_logs",0," run"," Run"," Time of latest run."
"pir_logs"," pir_ingestion_logs",0," timestamp"," Timestamp"," Time of current action."
"pir_logs"," pir_ingestion_logs",0," message"," Message"," Log message."
"pir_logs"," pir_question_linkage_logs",0," run"," Run"," Time of latest run."
"pir_logs"," pir_question_linkage_logs",0," timestamp"," Timestamp"," Time of current action."
"pir_logs"," pir_question_linkage_logs",0," message"," Message"," Log message."
"pir_logs"," pir_listener_logs",0," run"," Run"," Time of latest run."
"pir_logs"," pir_listener_logs",0," timestamp"," Timestamp"," Time of current action."
"pir_logs"," pir_listener_logs",0," message"," Message"," Log message."
"pir_logs"," pir_manual_question_link",0," base_id"," Base ID"," ID on which action is taken."
"pir_logs"," pir_manual_question_link",0," linked_id"," Linked ID"," ID to which base_id is linked or unlinked."
"pir_logs"," pir_manual_question_link",0," timestamp"," Timestamp"," Time of current action."
"pir_logs"," pir_manual_question_link",0," type"," Type"," Type of action (linked/unlinked)."
"pir_data"," response",0," uid"," Unique Program ID"," Uniquely identifies each program. Hash of grant_number, program_number, and program_type."
"pir_data"," response",0," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_data"," response",0," year"," Year"," Year from which question is drawn."
"pir_data"," response",0," answer"," Answer"," Response to present question."
"pir_data"," question",0," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_data"," question",0," year"," Year"," Year from which question is drawn."
"pir_data"," question",0," category"," Category"," Category of question."
"pir_data"," question",0," question_name"," Question Name"," Name of question."
"pir_data"," question",0," question_number"," Question Number"," Number of question."
"pir_data"," question",0," question_order"," Question Order"," Order question appears in survey."
"pir_data"," question",0," question_text"," Question Text"," Text of question."
"pir_data"," question",0," question_type"," Question Type"," Type of question."
"pir_data"," question",0," section"," Section"," Section in which question is found in survey."
"pir_data"," question",0," subsection"," Subsection"," Subsection in which question is found in survey."
"pir_data"," program",0," uid"," Unique Program ID"," Uniquely identifies each program. Hash of grant_number, program_number, and program_type. "
"pir_data"," program",0," year"," Year"," Survey year."
"pir_data"," program",0," grantee_name"," Grantee Name"," Name of grantee."
"pir_data"," program",0," grant_number"," Grant Number"," Grant number."
"pir_data"," program",0," program_address_line_1"," Address Line 1"," Line 1 of program address."
"pir_data"," program",0," program_address_line_2"," Address Line 2"," Line 2 of program address."
"pir_data"," program",0," program_agency_description"," Agency Description"," Description of agency/program."
"pir_data"," program",0," program_agency_type"," Agency Type"," Type of program/agency."
"pir_data"," program",0," program_city"," City"," City in which program is located."
"pir_data"," program",0," program_email"," Email"," Program email address."
"pir_data"," program",0," program_name"," Name"," Program name."
"pir_data"," program",0," program_number"," Number"," Program number. "
"pir_data"," program",0," program_phone"," Phone Number"," Program phone number."
"pir_data"," program",0," program_type"," Type"," Type of program (Early Head Start, Head Start etc.)"
"pir_data"," program",0," program_state"," State"," State in which the program is located."
"pir_data"," program",0," program_zip1"," Zip 5"," Five-digit zip code."
"pir_data"," program",0," program_zip2"," Zip 4"," Additional four digits for nine-digit zip code."
"pir_data"," program",0," region"," Region"," Region in which the program is located."
"pir_data"," unmatched_question",0," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_data"," unmatched_question",0," year"," Year"," Year from which question is drawn."
"pir_data"," unmatched_question",0," category"," Category"," Category of question."
"pir_data"," unmatched_question",0," question_name"," Question Name"," Name of question."
"pir_data"," unmatched_question",0," question_number"," Question Number"," Number of question."
"pir_data"," unmatched_question",0," question_order"," Question Order"," Order question appears in survey."
"pir_data"," unmatched_question",0," question_text"," Question Text"," Text of question."
"pir_data"," unmatched_question",0," question_type"," Question Type"," Type of question."
"pir_data"," unmatched_question",0," section"," Section"," Section in which question is found in survey."
"pir_data"," unmatched_question",0," subsection"," Subsection"," Subsection in which question is found in survey."
"pir_question_links"," linked",0," uqid"," Unique Question ID"," Unique question ID, across years."
"pir_question_links"," linked",0," year"," Year"," Year from which question is drawn."
"pir_question_links"," linked",0," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
"pir_question_links"," linked",0," category"," Category"," Category of question."
"pir_question_links"," linked",0," question_name"," Question Name"," Name of question."
"pir_question_links"," linked",0," question_number"," Question Number"," Number of question."
"pir_question_links"," linked",0," question_text"," Question Text"," Text of question."
"pir_question_links"," linked",0," section"," Section"," Section in which question is found in survey."
"pir_question_links"," unlinked",0," question_id"," Question ID"," Unique question ID, within year. Hash of question_number, and question_name."
