uid,year,region,service_state,grantee_name,grant_number,grant_type,program_name,program_number,program_type,total_cumulative_enrollment,total_cumulative_enrolled_children,newly_enrolled_children,less_than_1_year_old,x1_year_old,x2_years_old,x3_years_old,x4_years_old,x5_years_and_older,pregnant_women,income_eligibility,receipt_of_public_assistance_eligibility,foster_children_eligibility,homeless_children_eligibility,over_income_eligibility,income_between_100_percent_and_130_percent_of_poverty_eligibility,hispanic_or_latino_origin_any_race_enrollees,asian_non_hispanic_enrollees,black_or_african_american_non_hispanic_enrollees,native_hawaiian_pacific_islander_non_hispanic_enrollees,white_non_hispanic_enrollees,biracial_or_multi_racial_non_hispanic_enrollees,other_race_non_hispanic_enrollees,total_noncontracted_staff,total_contracted_staff,total_departed_staff,total_departed_noncontracted_staff,total_departed_contracted_staff,total_hs_prek_teachers,total_ehs_it_teachers,total_departed_teachers,children_with_health_insurance_at_enrollment,children_with_health_insurance_at_end_of_enrollment_year,children_with_ongoing_source_of_continuous_accessible_health_care_at_enrollment_start,children_with_ongoing_source_of_continuous_accessible_health_care_at_end_enrollment,children_up_to_date_on_epdst_at_enrollment_start,children_up_to_date_on_epdst_at_enrollment_end,hs_prek_children_with_an_iep,ehs_it_children_with_an_iep,hs_prek_health_impairment,hs_prek_emotional_disturbance,hs_prek_speech_impairment,hs_prek_intellectual_disabilities,hs_prek_hearing_impairment,hs_prek_orthopedic_impairment,hs_prek_visual_impairment,hs_prek_specific_learning_disabilities,hs_prek_autism,hs_prek_traumatic_brain_injury,hs_prek_non_categorical_developmental_delay,hs_prek_multiple_disabilities_excluding_deaf_blind,hs_prek_deaf_blind,newly_enrolled_children_who_completed_behavorial_screenings,homeless_children_served,foster_care_children_served
01CH010234-000-2019,2019,Region 1,CT,Edadvance,01CH010234,CH,EdAdvance,000,HS,214,214,139,0,0,9,93,111,1,0,137,4,6,12,21,34,70,7,5,0,115,16,1,42,0,6,6,0,23,NA,4,213,214,209,214,197,210,41,NA,0,0,7,0,0,0,0,0,0,0,34,0,0,138,19,10
01CH010234-200-2019,2019,Region 1,CT,Edadvance,01CH010234,CH,EdAdvance,200,EHS,61,55,24,9,15,17,14,0,0,6,42,5,5,1,5,3,24,1,1,0,30,0,1,11,0,2,2,0,NA,0,0,55,55,55,55,48,53,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,4,5
01CH010313-000-2019,2019,Region 1,CT,"Connecticut Institute for Communities, Inc.",01CH010313,CH,Head Start of Northern Fairfield County,000,HS,342,342,196,0,0,29,131,182,0,0,203,1,5,3,31,99,249,19,14,0,37,8,3,71,0,11,11,0,15,NA,3,314,318,308,336,82,313,56,NA,0,0,22,0,1,0,0,0,1,0,32,0,0,196,1,3
01CH010313-200-2019,2019,Region 1,CT,"Connecticut Institute for Communities, Inc.",01CH010313,CH,Early Head Start of Northern Fairfield County,200,EHS,52,52,23,19,13,20,0,0,0,0,32,0,0,0,7,13,38,0,1,0,10,3,0,35,0,6,6,0,NA,13,1,52,52,52,52,8,51,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,3,0
01CH010398-000-2019,2019,Region 1,CT,Eastern Connecticut Regional Educational Service Center,01CH010398,CH,EASTCONN Head Start,000,HS,242,242,176,0,0,8,115,119,0,0,115,26,11,38,22,30,131,6,11,0,82,9,2,79,3,10,10,0,16,NA,3,239,239,239,238,95,228,44,NA,0,1,21,0,0,0,0,0,12,0,10,0,0,153,40,19
01CH010398-200-2019,2019,Region 1,CT,Eastern Connecticut Regional Educational Service Center,01CH010398,CH,EASTCONN Early Head Start,200,EHS,290,255,108,60,73,86,36,0,0,35,145,44,5,47,31,18,167,6,8,0,95,11,3,67,3,10,10,0,NA,16,3,253,254,251,251,130,196,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,53,15
01CH010509-200-2019,2019,Region 1,CT,Prospect Manchester Hospital Inc.,01CH010509,CH,MANCHESTER MEMORIAL HOSPITAL,200,EHS,81,79,30,28,27,20,4,0,0,2,55,9,2,0,7,8,24,3,23,0,23,5,3,12,0,5,5,0,NA,0,0,79,79,71,73,79,79,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,0,6
01CH010527-000-2019,2019,Region 1,CT,"Connecticut Institute for Communities, Inc.",01CH010527,CH,"Connecticut Institute For Communities, Inc.",000,HS,195,195,147,0,0,33,86,76,0,0,130,3,0,6,17,39,167,2,14,0,3,2,6,32,2,4,4,0,7,NA,4,168,168,119,118,1,125,5,NA,0,0,5,0,0,0,0,0,0,0,0,0,0,147,5,0
01CH010527-200-2019,2019,Region 1,CT,"Connecticut Institute for Communities, Inc.",01CH010527,CH,"Connecticut Institute For Communities, Inc.",200,EHS,20,20,20,9,5,6,0,0,0,0,18,1,0,0,1,0,14,0,4,0,0,0,2,18,0,1,1,0,NA,4,1,20,20,16,16,0,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,0,0
01CH010758-000-2019,2019,Region 1,CT,Lulac Head Start Inc.,01CH010758,CH,"LULAC Head Start, Inc",000,HS,67,67,35,0,0,2,30,35,0,0,46,16,0,0,1,4,49,0,11,0,1,4,0,71,0,6,6,0,10,NA,0,67,67,67,67,67,67,6,NA,0,0,2,0,0,0,0,0,0,0,4,0,0,34,5,0
01CH010758-200-2019,2019,Region 1,CT,Lulac Head Start Inc.,01CH010758,CH,"LULAC Head Start, Inc",200,EHS,68,68,34,12,24,32,0,0,0,0,49,11,2,4,1,1,41,0,16,0,0,3,0,71,0,6,6,0,NA,13,2,68,68,68,68,68,68,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,2,1
01CH010841-000-2019,2019,Region 1,CT,Manchester Board of Education,01CH010841,CH,MANCHESTER BOARD OF EDUCATION,000,HS,168,168,123,0,0,0,42,126,0,0,131,1,3,2,7,24,75,7,52,0,29,5,0,41,0,4,4,0,11,NA,2,168,168,168,168,2,128,21,NA,0,0,12,0,0,0,0,1,3,0,5,0,0,34,3,6
01CH010841-001-2019,2019,Region 1,CT,Manchester Board of Education,01CH010841,CH,Enfield Head Start,001,HS,117,117,73,0,0,2,46,69,0,0,57,8,3,14,11,24,33,4,9,0,68,2,0,25,0,0,0,0,6,NA,0,117,117,116,116,99,98,22,NA,0,0,22,0,0,0,0,0,0,0,0,0,0,63,22,3
